department,year,type,number_contracts,contracts_value
Canadian Space Agency | Agence spatiale canadienne,2017,Goods,94,342770397.19
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2014,Other,37,2285418.62
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2014,Other,60,2035521.18
Fisheries and Oceans Canada | Pêches et Océans Canada,2011,Other,6642,1669099701.42
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2013,Other,116,6662154.83
National Film Board | Office national du film,2018,Goods,38,2572994.04
Canadian Space Agency | Agence spatiale canadienne,2017,Services,383,2637028065.75
Correctional Service of Canada | Service correctionnel du Canada,2008,Other,10,17647603.00
National Defence | Défense nationale,2016,Other,13575,5982165695.06
National Research Council Canada | Conseil national de recherches Canada,2006,Other,30,166229779.00
National Defence | Défense nationale,2004,Other,5271,7052428259.14
Natural Resources Canada | Ressources naturelles Canada,2009,Other,7,892906.27
National Film Board | Office national du film,2017,Services,130,6001608.37
Canadian Space Agency | Agence spatiale canadienne,2017,Construction,41,19342339.55
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2015,Other,13,549148.30
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2013,Other,43,1044859.36
Canadian Space Agency | Agence spatiale canadienne,2018,Services,147,26526184.03
Fisheries and Oceans Canada | Pêches et Océans Canada,2010,Other,5589,776999500.37
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2012,Other,94,6855790.00
National Film Board | Office national du film,2017,Goods,48,2254794.54
Correctional Service of Canada | Service correctionnel du Canada,2009,Other,60,71843310.00
National Film Board | Office national du film,2016,Goods,1,25697.79
Department of Justice | Ministère de la Justice,2011,Services,1,195000.00
National Defence | Défense nationale,2005,Other,10130,5491903222.98
National Research Council Canada | Conseil national de recherches Canada,2005,Other,15,15294286.00
Canadian Space Agency | Agence spatiale canadienne,2018,Construction,13,1555557.21
Natural Resources Canada | Ressources naturelles Canada,2008,Other,4,7722129.61
Canadian Space Agency | Agence spatiale canadienne,2018,Goods,42,2428559.95
National Film Board | Office national du film,2016,Services,3,38074.66
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2012,Other,27,1137608.20
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2011,Other,142,7788477.34
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2012,Other,71,6771199.00
Canada Revenue Agency | Agence du revenu du Canada,2010,Other,2389,1063887434.94
Health Canada | Santé Canada,2008,Services,2,266183122.23
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2009,Services,2,65720871.40
National Defence | Défense nationale,2006,Other,4454,1041268607.21
National Research Council Canada | Conseil national de recherches Canada,2004,Other,9,27837338.00
National Research Council Canada | Conseil national de recherches Canada,2016,Other,1042,75840126.92
Natural Resources Canada | Ressources naturelles Canada,2007,Other,1,38512.50
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2013,Other,89,3750870.72
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2010,Other,617,92052695.51
