year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Service,Services,4228,19803799.56,3146056.04,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Good,Biens,9541,26926271.13,19723.62,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Construction,Construction,124,1001243.42,145363.38,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Service,Services,428,25321686.66,1728270.53,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2017,Good,Biens,65,1122862.49,80457.83,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2017,Construction,Construction,7,2214116.39,75876.73,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2017,Service,Services,415,3007985.36,117390.13,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Good,Biens,320,990656.34,10277.37,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Construction,Construction,4,20430.48,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Service,Services,243,999926.53,106083.76,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Good,Biens,43,283439.88,26024.57,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Construction,Construction,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Service,Services,12,133040.41,66147,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Good,Biens,3,28971.84,7789,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Construction,Construction,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Service,Services,319,965464.53,269353.80,Courts Administration Service,Service administratif des tribunaux judiciaires
2017,Good,Biens,932,1148922.62,4475.4,Courts Administration Service,Service administratif des tribunaux judiciaires
2017,Construction,Construction,4,12422,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2017,Service,Services,914,4266713.32,620705.72,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Good,Biens,764,3038904.09,104665.74,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Construction,Construction,7,60022.39,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Service,Services,83,359355.52,11000.00,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Good,Biens,90,185731.66,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Construction,Construction,0,0,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Service,Services,12,239167.43,613.25,Canadian Environmental Assessment Agency,Agence canadienne d'évaluation environnementale
2017,Good,Biens,5,82109.68,0,Canadian Environmental Assessment Agency,Agence canadienne d'évaluation environnementale
2017,Construction,Construction,0,0,0,Canadian Environmental Assessment Agency,Agence canadienne d'évaluation environnementale
2017,Service,Services,246,681262.14,54926.67,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Good,Biens,232,337037.97,2254.89,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Construction,Construction,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Service,Services,581,3890626.50,849902.81,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Good,Biens,2611,6579290.36,44849.06,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Construction,Construction,51,170153.96,196209.37,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Service,Services,276,1190663.26,73914.86,Canadian Grain Commission,Commission canadienne des grains
2017,Good,Biens,986,2067426.80,3844.02,Canadian Grain Commission,Commission canadienne des grains
2017,Construction,Construction,5,19953.68,0,Canadian Grain Commission,Commission canadienne des grains
2017,Service,Services,994,3484099.95,1011434.82,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Good,Biens,2750,5437697.59,128048.22,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Construction,Construction,0,0,0,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Service,Services,199,1357391.73,174048.32,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Good,Biens,94,670381.62,4427.31,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Construction,Construction,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Service,Services,189,1716020.85,80064.08,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
