year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2019,Service,Services,TC,952,56184977.90,20746427.04,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Good,Biens,TC,1405,48681000.62,239906.15,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,TC,191,7336584.84,468644.47,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,OB,458,76740860.47,54246117.65,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Good,Biens,OB,448,44198267.39,307796.33,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,OB,50,8569263.14,1019012.91,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,AC,90,5814573.97,2419625.08,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Good,Biens,AC,20,2287257.39,108999.44,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,AC,2,60755.30,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,TN,802,39481503.42,4881567.78,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Good,Biens,TN,554,17403962.78,258651.96,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,TN,19,362165.54,6904.80,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Service,Services,TN,562,31359793.89,-19754991.90,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Good,Biens,TN,148,9600014.05,5424.00,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Construction,Construction,TN,10,227099.38,57487.50,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Service,Services,TC,630,54783098.45,9608022.42,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Good,Biens,TC,132,12377521.40,638309.23,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Construction,Construction,TC,3,2138035.50,31500.00,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Service,Services,AC,0,0,28875.00,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Good,Biens,AC,0,0,0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Construction,Construction,AC,0,0,0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Service,Services,OB,175,43475038.27,5492391.52,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Good,Biens,OB,31,2113844.58,560187.27,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2018,Construction,Construction,OB,0,0,44376.73,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
2019,Service,Services,TN,53,1561345.61,7485.00,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Good,Biens,TN,13,1342751.01,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Construction,Construction,TN,1,13805.55,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Service,Services,TC,84,3568453.42,450226.88,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Good,Biens,TC,40,1257101.95,4600.00,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Construction,Construction,TC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Service,Services,AC,0,0,321704.45,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Good,Biens,AC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Construction,Construction,AC,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Service,Services,OB,67,5651657.34,6031957.40,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Good,Biens,OB,19,2280295.88,372194.22,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Construction,Construction,OB,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Service,Services,TN,82,3652417.17,1018261.17,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Good,Biens,TN,43,2191610.08,163362.38,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Construction,Construction,TN,1,19047.09,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
