year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Service,Services,6682,18760688.90,861050.48,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Good,Biens,15501,29668721.94,98458.43,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Construction,Construction,259,1066519.02,249962.32,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Service,Services,751,2020810.82,73137.14,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Good,Biens,577,932085.42,5000.48,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Construction,Construction,3,6624.93,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Service,Services,393,846781.98,99447.47,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Good,Biens,68,246101.58,19564.07,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Construction,Construction,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Service,Services,7,44395,66147,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Good,Biens,2,7789,7789,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Construction,Construction,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Service,Services,658,1306235.28,80673.53,Courts Administration Service,Service administratif des tribunaux judiciaires
2017,Good,Biens,1852,2218059.68,7577.0,Courts Administration Service,Service administratif des tribunaux judiciaires
2017,Construction,Construction,22,48027.66,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2017,Service,Services,1542,2730276.67,461748.44,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Good,Biens,1282,2869129.85,104893.34,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Construction,Construction,12,23486.7,1317.07,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Service,Services,73,187505.42,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Good,Biens,85,104528.73,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Construction,Construction,0,0,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Service,Services,224,301464.82,-1826.4,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Good,Biens,223,196624.04,2254.89,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Construction,Construction,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Service,Services,207,814768.19,24072.04,Canada Energy Regulator,La Régie de l’énergie du Canada
2017,Good,Biens,176,661071.02,23500,Canada Energy Regulator,La Régie de l’énergie du Canada
2017,Construction,Construction,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2017,Service,Services,870,2070922.77,296195.71,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Good,Biens,3679,6131571.48,-32460.86,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Construction,Construction,99,228731.90,164831.00,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2017,Service,Services,389,875707.83,-8006.75,Canadian Grain Commission,Commission canadienne des grains
2017,Good,Biens,1904,2671667.83,5353.20,Canadian Grain Commission,Commission canadienne des grains
2017,Construction,Construction,8,13495.89,0,Canadian Grain Commission,Commission canadienne des grains
2017,Service,Services,403,1681777.92,53545.87,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Good,Biens,117,311221.77,8562.15,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Construction,Construction,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2017,Service,Services,1708,3110676.92,335014.52,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Good,Biens,5033,8415336.16,19831.72,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Construction,Construction,0,0,0,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Service,Services,400,904513.46,8194.18,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Good,Biens,169,383616.40,3390.43,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Construction,Construction,0,0,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2017,Service,Services,148,446227,86891,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Good,Biens,66,219053.62,4427.31,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Construction,Construction,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2017,Service,Services,233,839443.64,114690.56,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2017,Good,Biens,143,410475.70,1748.29,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2017,Construction,Construction,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2017,Service,Services,22,63694,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Good,Biens,40,111694,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Construction,Construction,0,0,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Service,Services,706,2029059.37,-1111354.32,Canada Revenue Agency,Agence du revenu du Canada
2017,Good,Biens,1044,2188895.56,-28687.72,Canada Revenue Agency,Agence du revenu du Canada
2017,Construction,Construction,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2017,Service,Services,525,1056175.89,224728.99,Canadian Space Agency,Agence spatiale canadienne
2017,Good,Biens,292,840911.53,49711.19,Canadian Space Agency,Agence spatiale canadienne
2017,Construction,Construction,35,133667.19,17721.01,Canadian Space Agency,Agence spatiale canadienne
2017,Service,Services,39096,62117760.55,1241663.34,Correctional Service of Canada,Service correctionnel du Canada
2017,Good,Biens,133499,171373742.33,290244.80,Correctional Service of Canada,Service correctionnel du Canada
2017,Construction,Construction,2127,8145694.76,255837.99,Correctional Service of Canada,Service correctionnel du Canada
2017,Service,Services,369,3187949.69,72907.35,Canada School of Public Service,École de la fonction publique du Canada
2017,Good,Biens,123,1189720.70,-3251.24,Canada School of Public Service,École de la fonction publique du Canada
2017,Construction,Construction,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2017,Service,Services,17,162639.29,-61163.09,Canadian Transportation Agency,Office des transports du Canada
2017,Good,Biens,6,31339.05,4100.17,Canadian Transportation Agency,Office des transports du Canada
2017,Construction,Construction,0,0,0,Canadian Transportation Agency,Office des transports du Canada
2017,Service,Services,10082,34603247.23,2301517.65,Global Affairs Canada,Affaires mondiales Canada
2017,Good,Biens,10101,21879777.82,487939.85,Global Affairs Canada,Affaires mondiales Canada
2017,Construction,Construction,1638,6500782.05,400047.75,Global Affairs Canada,Affaires mondiales Canada
2017,Service,Services,16211,64360812.32,-894799.44,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Good,Biens,10193,37570359.59,-217638.71,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Construction,Construction,3388,13039829.64,-12704.97,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Service,Services,116756,126735516.11,241173.82,National Defence,Défense nationale
2017,Good,Biens,104823,146217487.22,-61644.28,National Defence,Défense nationale
2017,Construction,Construction,7548,16251757.54,-38991.16,National Defence,Défense nationale
2017,Service,Services,2935,12075657.2,195590.69,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Good,Biens,2089,6485136.7,-26295.7,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Construction,Construction,277,1193725.3,4928.15,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Service,Services,484,1590409.21,56145.21,Elections Canada,Élections Canada
2017,Good,Biens,46,271263.06,8500.97,Elections Canada,Élections Canada
2017,Construction,Construction,0,0,0,Elections Canada,Élections Canada
2017,Service,Services,912,3211671.98,32085.24,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Good,Biens,129,350115.51,26446.82,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Construction,Construction,6,32225.58,0,Employment and Social Development Canada,Emploi et Développement social Canada
