year,commodity_type,contracts_count,original_value,amendment_value,solicitation_procedure_code,department
2017,S,23,32189.38,0,TC,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017,S,67,33327.00,0,TC,Atlantic Canada Opportunities Agency | Agence de promotion Ã©conomique du Canada atlantique
2017,S,23,282500.00,273291.31,TC,Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs
2017,S,78,163229.34,40581.66,TC,Canadian Northern Economic Development Agency | Agence canadienne de dÃ©veloppement Ã©conomique du Nord
2017,S,4,512085.00,31500,TC,Courts Administration Service | Service administratif des tribunaux judiciaires
2017,S,23,45254.16,19301.55,TC,Canada Border Services Agency | Agence des services frontaliers du Canada
2017,S,13,32544.00,32544,OB,Financial Consumer Agency of Canada | Agence de la consommation en matiÃ¨re financiÃ¨re du Canada
2017,S,96,127045.80,122164.36,TN,Federal Economic Development Agency for Southern Ontario | Agence fÃ©dÃ©rale de dÃ©veloppement Ã©conomique pour le Sud de l'Ontario
2017,S,30,49437.50,54240,OB,Department of Finance Canada | MinistÃ¨re des Finances Canada
2017,S,20,414769.95,414769.95,OB,Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opÃ©rations et dÃ©clarations financiÃ¨res du Canada
2017,S,27,116619.83,70920.54,OB,Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat Ã  la magistrature fÃ©dÃ©rale Canada
2017,S,51,25399.50,18191.25,TC,Farm Products Council of Canada | Conseil des produits agricoles du Canada
2017,S,85,27500.00,23952.45,OB,Health Canada | SantÃ© Canada
2017,S,157,1561906.50,66360,TC,"Innovation, Science and Economic Development Canada | Innovation, Sciences et DÃ©veloppement Ã©conomique Canada"
2017,S,70,31500.00,0,AC,Office of the Public Sector Integrity Commissioner of Canada | Commissariat Ã  l'intÃ©gritÃ© du secteur public du Canada
2017,S,18,105000.00,0,AC,Public Safety Canada | SÃ©curitÃ© publique Canada
2017,S,93,54240.00,0,TC,Public Services and Procurement Canada | Services publics et Approvisionnement Canada
2017,S,58,350021.34,0,TC,Royal Canadian Mounted Police | Gendarmerie royale du Canada
2017,S,15,56409.60,0,TC,Shared Services Canada | Services partagÃ©s Canada
2017,S,17,44694.06,0,TC,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2017,S,19,118887.30,0,TC,Statistics Canada | Statistique Canada
2017,S,53,1275746.51,0,TC,Treasury Board of Canada Secretariat | SecrÃ©tariat du Conseil du TrÃ©sor du Canada
2017,S,25,37785.55,0,TN,Transport Canada | Transports Canada
2017,S,70,84072.00,0,TC,Veterans Affairs Canada | Anciens Combattants Canada
2017,S,18,84072.00,0,TN,Veterans Review and Appeal Board | Tribunal des anciens combattants (rÃ©vision et appel)
2017,S,93,33900.00,24577.5,OB,Western Economic Diversification Canada | Diversification de l'Ã©conomie de l'Ouest Canada
2017,C,58,82670.80,0,OB,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017,C,10,36103.50,0,TC,Atlantic Canada Opportunities Agency | Agence de promotion Ã©conomique du Canada atlantique
2017,C,54,49042.00,45878,TC,Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs
2017,C,28,46782.00,0,TC,Canadian Northern Economic Development Agency | Agence canadienne de dÃ©veloppement Ã©conomique du Nord
2017,C,22,78540.00,0,TC,Courts Administration Service | Service administratif des tribunaux judiciaires
