year,commodity_type,contracts_count,original_value,amendment_value,department,,,,,
2017,S,23,27578714.03,-703945.61,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,,,,,
2017,S,67,57708183,93985,Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,,,,,
2017,S,23,6248919.2,79361.69,Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,,,,,
2017,S,78,884852.36,28138.91,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord,,,,,
2017,S,4,1559755.97,195732.73,Courts Administration Service | Service administratif des tribunaux judiciaires,,,,,
2017,S,23,235843.37,11962.6,Canada Border Services Agency | Agence des services frontaliers du Canada,,,,,
2017,S,245,238195.49,-5858.82,Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiène et de sécurité au travail,,,,,
2017,S,42,376071.19,9216.87,Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,,,,,
2017,S,157,405947,26802,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,,,,,
2017,S,27,184338.17,25304.5,Canadian Grain Commission | Commission canadienne des grains,,,,,
2017,S,92,1045841,51910,Canadian Human Rights Commission | Commission canadienne des droits de la personne,,,,,
2017,S,61,39510,472,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",,,,,
2017,S,13,16566480.12,308318.69,Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,,,,,
2017,S,15,4042520.65,74468.27,Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,,,,,
2017,S,17,3130804,330976,Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,,,,,
2017,S,19,320652.05,4998.48,Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,,,,,
2017,S,53,41538,0,Canada Revenue Agency | Agence du revenu du Canada,,,,,
2017,S,25,160620.07,23222.33,Canadian Space Agency | Agence spatiale canadienne,,,,,
2017,S,70,154396.1,-6068.97,Correctional Service of Canada | Service correctionnel du Canada,,,,,
2017,S,18,405825,238953,Canada School of Public Service | École de la fonction publique du Canada,,,,,
2017,S,93,558793,17065,Canadian Transportation Agency | Office des transports du Canada,,,,,
2017,S,58,6552025.82,0,Global Affairs Canada | Affaires mondiales Canada,,,,,
2017,S,10,5929164.8,492315.08,Fisheries and Oceans Canada | Pêches et Océans Canada,,,,,
2017,S,54,8960838.23,-24387.37,National Defence | Défense nationale,,,,,
